type,constituency,station,candidat,date_start,date_end,time_candidat,time_support,time_mention
presidential,national,France 24,Arthaud Nathalie,2022-01-16,2022-01-30,28.1833,0,0
presidential,national,France 24,Dupont Aignan Nicolas,2022-01-16,2022-01-30,2.3833,0,0
presidential,national,France 24,Hidalgo Anne,2022-01-01,2022-01-16,2.8333,12.6167,4.7167
presidential,national,France 24,Hidalgo Anne,2022-01-16,2022-01-30,0.7833,0,6.1667
presidential,national,France 24,Jadot Yannick,2022-01-01,2022-01-16,1.7333,29.85,1.1
presidential,national,France 24,Jadot Yannick,2022-01-16,2022-01-30,27.7,0,11.7667
presidential,national,France 24,Larrouturou Pierre,2022-01-01,2022-01-16,0,0,0.35
presidential,national,France 24,Larrouturou Pierre,2022-01-16,2022-01-30,0,0,0
presidential,national,France 24,Le Pen Marine,2022-01-01,2022-01-16,5.3667,0,2.3333
presidential,national,France 24,Le Pen Marine,2022-01-16,2022-01-30,9.8,26.1167,5.8833
presidential,national,France 24,Macron Emmanuel,2022-01-01,2022-01-16,8.7333,75.6333,217.7
presidential,national,France 24,Macron Emmanuel,2022-01-16,2022-01-30,9.4,7.65,20.6667
presidential,national,France 24,Melenchon Jean Luc,2022-01-01,2022-01-16,4.3167,28.15,29.9
presidential,national,France 24,Melenchon Jean Luc,2022-01-16,2022-01-30,2.9833,21.95,6.2833
presidential,national,France 24,Pecresse Valerie,2022-01-01,2022-01-16,14.6833,18.9667,18.85
presidential,national,France 24,Pecresse Valerie,2022-01-16,2022-01-30,0.9333,2.6667,10.6667
presidential,national,France 24,Roussel Fabien,2022-01-01,2022-01-16,0,0,0.2667
presidential,national,France 24,Roussel Fabien,2022-01-16,2022-01-30,29.5833,0,7.8667
presidential,national,France 24,Taubira Christiane,2022-01-01,2022-01-16,9,0,40.95
presidential,national,France 24,Taubira Christiane,2022-01-16,2022-01-30,9.15,0,11.3333
presidential,national,France 24,Zemmour Eric,2022-01-01,2022-01-16,1.1,0,13.1667
presidential,national,France 24,Zemmour Eric,2022-01-16,2022-01-30,4.7333,0,19.15
presidential,national,France 3,Arthaud Nathalie,2022-01-01,2022-01-16,0.1,0,0
presidential,national,France 3,Arthaud Nathalie,2022-01-16,2022-01-30,0,0,0
presidential,national,France 3,Asselineau Francois,2022-01-16,2022-01-30,0.6667,0,0.0667
presidential,national,France 3,Dupont Aignan Nicolas,2022-01-01,2022-01-16,0.2333,0,0
presidential,national,France 3,Dupont Aignan Nicolas,2022-01-16,2022-01-30,0.15,0,0
presidential,national,France 3,Hidalgo Anne,2022-01-01,2022-01-16,0.8333,0,0.7
presidential,national,France 3,Hidalgo Anne,2022-01-16,2022-01-30,1.4167,0.3833,0.6333
presidential,national,France 3,Jadot Yannick,2022-01-01,2022-01-16,0.9333,0.1167,0.8333
presidential,national,France 3,Jadot Yannick,2022-01-16,2022-01-30,1.3333,0.3833,2.65
presidential,national,France 3,Lassalle Jean,2022-01-01,2022-01-16,0.1333,0,0
presidential,national,France 3,Lassalle Jean,2022-01-16,2022-01-30,0,0.1667,0.1167
presidential,national,France 3,Le Pen Marine,2022-01-01,2022-01-16,1.9667,0.0667,2.3
presidential,national,France 3,Le Pen Marine,2022-01-16,2022-01-30,26.35,0.2167,1.1
presidential,national,France 3,Macron Emmanuel,2022-01-01,2022-01-16,0.15,0,0.3333
presidential,national,France 3,Macron Emmanuel,2022-01-16,2022-01-30,0.1167,0,2.3667
presidential,national,France 3,Melenchon Jean Luc,2022-01-01,2022-01-16,1.6,0.1667,2.55
presidential,national,France 3,Melenchon Jean Luc,2022-01-16,2022-01-30,0.15,0,0.1167
